time_step,avg_reward,tax_rate
1,0.0,0.15
2,0.0,0.15
3,0.2303410974882795,0.15
4,1.0445359171912503,0.15
5,0.5298375328440625,0.15
6,0.3717297829655103,0.15
7,0.0,0.15
8,0.0,0.15
9,0.0,0.15
10,1.1407481154181478,0.15
11,0.7241051477031094,0.15
12,0.025,0.15
13,0.6286905077248555,0.15
14,0.025000000000000005,0.15
15,0.10000000000000002,0.15
16,0.5050233592746686,0.15
17,0.3079533850693857,0.15
18,0.3850234634770563,0.15
19,0.5836939039347825,0.15
20,0.573102002605907,0.15
21,1.098633778309666,0.15
22,0.025,0.15
23,1.7612233982940013,0.15
24,3.0130772508068446,0.15
25,0,0.15
26,1.2331059809117197,0.15
27,1.862440516346991,0.15
28,0.0,0.15
29,0.0,0.15
30,1.1361121789396242,0.15
31,0.9330259765500472,0.15
32,0.0,0.15
33,0.02,0.15
34,0.8760953947417608,0.15
35,0.6387495516556773,0.15
36,0.0,0.15
37,0.0,0.15
38,0.5101097250136709,0.15
39,0.9356111466855253,0.15
40,0.9255087524118729,0.15
41,0.459578589208333,0.15
42,0.016666666666666666,0.15
43,0.03333333333333333,0.15
44,0.016666666666666666,0.15
45,0.016666666666666666,0.15
46,0.016666666666666666,0.15
47,0.5406534077172733,0.15
48,0.014285714285714287,0.15
49,0.9904428327335468,0.15
50,0.46834174016149943,0.15
51,0.8933982997924483,0.15
52,0.02857142857142857,0.15
53,0.0,0.15
54,0.014285714285714285,0.15
55,0.46901284668881266,0.15
56,0.0,0.15
57,0.0,0.15
58,1.1460333147071127,0.15
59,1.7951354817136942,0.15
60,1.1686502183394887,0.15
61,2.213982844230154,0.15
62,3.325649826828011,0.15
63,2.143067459573198,0.15
64,0,0.15
65,0.0,0.15
66,0.5883989228947556,0.15
67,0.011111111111111112,0.15
68,2.1812774504701204,0.15
69,0.022222222222222223,0.15
70,0.5723126990596441,0.15
71,0.03333333333333334,0.15
72,0.6391705376019639,0.15
73,0.011111111111111112,0.15
74,0.545126582273584,0.15
75,0.7077084102933332,0.15
76,0.0,0.15
77,1.1203727600750264,0.15
78,0.853280770040653,0.15
79,0.01,0.15
80,0.8442803271236159,0.15
81,0.01,0.15
82,0.01,0.15
83,0.0,0.15
84,0.45122590629028375,0.15
85,0.683833378658589,0.15
86,0.009090909090909092,0.15
87,1.1339866892184498,0.15
88,0.0,0.15
89,1.557858608161148,0.15
90,1.2997066575952876,0.15
91,1.5796686535064932,0.15
92,0.863060311515958,0.15
93,0.0,0.15
94,0.0,0.15
95,0.008333333333333333,0.15
96,0.008333333333333333,0.15
97,0.008333333333333333,0.15
98,0.5225714706416996,0.15
99,0.016666666666666666,0.15
100,0.8200439033253678,0.15
101,0.9278337010899955,0.15
102,0.008333333333333333,0.15
103,1.0280204711143885,0.15
104,0.41135182688609434,0.15
105,1.427048049540124,0.15
106,0.007692307692307693,0.15
107,0.007692307692307693,0.15
108,0.007692307692307693,0.15
109,2.1875029845198597,0.15
110,0.015384615384615385,0.15
111,0.007692307692307693,0.15
112,0.9343766533977257,0.15
113,0.8519223308254009,0.15
114,0.014285714285714287,0.15
115,0.0071428571428571435,0.15
116,1.0755995868120143,0.15
117,0.4569213860342751,0.15
118,1.075343558667791,0.15
119,0.0,0.15
120,1.8282568402053936,0.15
121,1.9004836924877047,0.15
122,2.263450655432862,0.15
123,0,0.15
124,0,0.15
125,0.006666666666666667,0.15
126,0.006666666666666667,0.15
127,1.2355804103809191,0.15
128,0.0,0.15
129,0.00625,0.15
130,1.0546580436628046,0.15
131,0.0,0.15
132,0.9891219998525679,0.15
133,0.0125,0.15
134,0.36468672700525606,0.15
135,0.43011393095183276,0.15
136,0.012500000000000002,0.15
137,0.0,0.15
138,0.0,0.15
139,0.7056460121054726,0.15
140,0.017647058823529415,0.15
141,0.0058823529411764705,0.15
142,0.46057057561138603,0.15
143,0.011764705882352941,0.15
144,0.0058823529411764705,0.15
145,0.8504705804515696,0.15
146,0.7032367185724117,0.15
147,1.2820646406126321,0.15
148,0.005555555555555556,0.15
149,0.01666666666666667,0.15
150,0.01666666666666667,0.15
151,1.7839823775973507,0.15
152,1.3006721964388923,0.15
153,0.5008098564933904,0.15
154,1.7602601033760965,0.15
155,0,0.15
156,1.7231051681740477,0.15
157,0,0.15
158,0,0.15
159,0.010526315789473684,0.15
160,0.005263157894736842,0.15
161,0.36874543191528003,0.15
162,0.9857004387387901,0.15
163,1.5094722213601275,0.15
164,0.006666666666666667,0.15
165,1.8762926711122714,0.15
166,0.004687500000000001,0.15
167,0.0030927835051546395,0.15
168,0.8031639371287032,0.15
169,0.00101010101010101,0.15
170,1.581532552541412,0.15
171,0.0009900990099009903,0.15
172,0.9595915141485037,0.15
173,0.00030211480362537764,0.15
174,1.4459936277038272,0.15
175,1.5463795366663895,0.15
176,0.00101010101010101,0.15
177,0.002797202797202797,0.15
178,1.7061688700383857,0.15
179,1.3640683372125841,0.15
180,1.3065948733196144,0.15
181,0.5617829991645693,0.15
182,1.0998178432633101,0.15
183,0.5790876624419395,0.15
184,0.01363636363636364,0.15
185,0.009523809523809525,0.15
186,0.8134884935474187,0.15
187,0.5111051639160996,0.15
188,0.9198457901708228,0.15
189,0.4839363113291868,0.15
