time_step,equality,tax_rate
1,0.983543072285789,0.15
2,0.9775313315460745,0.15
3,0.9589972848887136,0.15
4,0.9550398468679662,0.15
5,0.9509909828248877,0.15
6,0.8613991144517936,0.15
7,0.9495770282995276,0.15
8,0.9483428868826008,0.15
9,0.9468892537989841,0.15
10,0.9473260997674808,0.15
11,0.954127906782865,0.15
12,0.9732338772966208,0.15
13,0.9717776694766996,0.15
14,0.9716187865854765,0.15
15,0.9665210701535694,0.15
16,0.9526938788913366,0.15
17,0.9501522950705008,0.15
18,0.9394328140109814,0.15
19,0.9334847299370849,0.15
20,0.9341752278623249,0.15
21,0.9338595002106287,0.15
22,0.9360938310478941,0.15
23,0.9334024559241788,0.15
24,0.9352967659608513,0.15
25,0.9244089162104907,0.15
26,0.9308111473915479,0.15
27,0.9237857267471473,0.15
28,0.9192596548128085,0.15
29,0.916503713685429,0.15
30,0.9134873308672841,0.15
31,0.9317366188802007,0.15
32,0.9365715311232398,0.15
33,0.9457817619118346,0.15
34,0.9383177295409634,0.15
35,0.9410408461800092,0.15
36,0.9377410376209494,0.15
37,0.6907997543477455,0.15
38,0.7697565301144275,0.15
39,0.9035658511123709,0.15
40,0.897946265606212,0.15
41,0.9133879413815467,0.15
42,0.9028844197517335,0.15
43,0.90753119754916,0.15
44,0.9041743896725355,0.15
45,0.9029576360110251,0.15
46,0.9025956567502542,0.15
47,0.9023807580558031,0.15
48,0.9089323283016454,0.15
49,0.9040002412178637,0.15
50,0.907330854684612,0.15
51,0.906065075081792,0.15
52,0.907052693554926,0.15
53,0.6985040552682948,0.15
54,0.8216745798663007,0.15
55,0.8740242658428192,0.15
56,0.8725196750740263,0.15
57,0.8612938467296248,0.15
58,0.868160302416626,0.15
59,0.875179317613942,0.15
60,0.8812470179015022,0.15
61,0.8975893816925511,0.15
62,0.9019448483212618,0.15
63,0.9026557364125098,0.15
64,0.9024939868903133,0.15
65,0.8856695569683289,0.15
66,0.8801512733377355,0.15
67,0.8723888633093893,0.15
68,0.8712375776826442,0.15
69,0.8560012131864476,0.15
70,0.8617128810361021,0.15
71,0.8768682553430359,0.15
72,0.8746668653464678,0.15
73,0.8675659844236012,0.15
74,0.869633587107167,0.15
75,0.8769179149243645,0.15
76,0.7088445817335682,0.15
77,0.7737182926485497,0.15
78,0.8796370833910221,0.15
79,0.8679379472916222,0.15
80,0.8701416823399841,0.15
81,0.8895754278474475,0.15
82,0.8838619394079908,0.15
83,0.8810641615788803,0.15
84,0.8798046299088169,0.15
85,0.8662637254331926,0.15
86,0.8599514689037104,0.15
87,0.8614203176287056,0.15
88,0.8585521583144389,0.15
89,0.8563602775684511,0.15
90,0.8490063978902225,0.15
91,0.8776715025455085,0.15
92,0.8816761929803867,0.15
93,0.8791745098364844,0.15
94,0.889203730773312,0.15
95,0.8864765406060758,0.15
96,0.8799434785261845,0.15
97,0.8740945062885221,0.15
98,0.8885153099646479,0.15
99,0.892903189704369,0.15
100,0.8908441211020347,0.15
101,0.9046772159690356,0.15
102,0.9054984383878383,0.15
103,0.8921162967736315,0.15
104,0.8762358381750244,0.15
105,0.876023774548872,0.15
106,0.7285006679485628,0.15
107,0.7707704083130897,0.15
108,0.8548419809990029,0.15
109,0.7447930492002651,0.15
110,0.7953322079017752,0.15
111,0.8928978698354314,0.15
112,0.8903399528008425,0.15
113,0.897137265691907,0.15
114,0.8924989547130698,0.15
115,0.9007625705462917,0.15
116,0.8925651261644295,0.15
117,0.8913540441956388,0.15
118,0.793488141417731,0.15
119,0.833084887273559,0.15
120,0.8177218205773799,0.15
121,0.8765580922727718,0.15
122,0.9158727985982313,0.15
123,0.9111329512561032,0.15
124,0.8179328172998677,0.15
125,0.7760895294089105,0.15
126,0.8490058330765965,0.15
127,0.8904980600627628,0.15
128,0.8824681720614976,0.15
129,0.8093416876398021,0.15
130,0.8287186352750358,0.15
131,0.8890745470906861,0.15
132,0.8418687999593742,0.15
133,0.8718992805267199,0.15
134,0.8969409891879595,0.15
135,0.8381589052290659,0.15
136,0.817974842745375,0.15
137,0.8501116673035796,0.15
138,0.9012433988858798,0.15
139,0.8951353252297244,0.15
140,0.8992510250929332,0.15
141,0.9120253433108698,0.15
142,0.9122813240573399,0.15
143,0.9086228453257965,0.15
144,0.8450640102815923,0.15
145,0.8611981433018673,0.15
146,0.906171758258851,0.15
147,0.90362919881492,0.15
148,0.9037568459486823,0.15
149,0.9039589414236378,0.15
150,0.9066446694530633,0.15
151,0.9169618452647301,0.15
152,0.9185692648396224,0.15
153,0.8532097148375453,0.15
154,0.868855151524186,0.15
155,0.9049782222112309,0.15
156,0.9014164851127796,0.15
157,0.9000524361151819,0.15
158,0.8961302511711048,0.15
159,0.8940752845804364,0.15
160,0.8929659609227256,0.15
161,0.9093859846549162,0.15
162,0.9084055261534206,0.15
163,0.9088628607994781,0.15
164,0.9080413175417096,0.15
165,0.8457302395326265,0.15
166,0.8623732256075205,0.15
167,0.891820090792327,0.15
168,0.8884228441286617,0.15
169,0.8849330207366188,0.15
170,0.8830205592530307,0.15
171,0.8980528374253445,0.15
172,0.8968981970832984,0.15
173,0.8930107245873915,0.15
