time_step,avg_reward,tax_rate
1,1.7089202754767001,0.25
2,1.101857654333916,0.25
3,0.8425538600922692,0.25
4,0.03333333333333333,0.25
5,0.03333333333333333,0.25
6,0.9523336605817541,0.25
7,0.5644416727867682,0.25
8,0.7202654492651243,0.25
9,0.0,0.25
10,0.0,0.25
11,0.7883850707273206,0.25
12,0.36595291096455995,0.25
13,0.05,0.25
14,0.9950385977210218,0.25
15,0.07500000000000001,0.25
16,0.025000000000000005,0.25
17,0.05,0.25
18,0.555407532684138,0.25
19,0.7303968793891767,0.25
20,0.0,0.25
21,0.6843816178408582,0.25
22,0.9881160362007119,0.25
23,0.5558417460365928,0.25
24,0.0,0.25
25,1.6005851765102217,0.25
26,0.0,0.25
27,0.0,0.25
28,0.0,0.25
29,0.0,0.25
30,1.388097749826706,0.25
31,0.02,0.25
32,1.1500702538713847,0.25
33,0.38081064307892326,0.25
34,0.5754851889880971,0.25
35,0.7026474652663234,0.25
36,0.7638557145794648,0.25
37,0.6843808710675438,0.25
38,0.6734046196654127,0.25
39,0.016666666666666666,0.25
40,0.0,0.25
41,0.6181445521338187,0.25
42,0.0,0.25
43,0.0,0.25
44,0.0,0.25
45,0.03333333333333333,0.25
46,1.1421098717342772,0.25
47,1.501197839959509,0.25
48,1.597388997118347,0.25
49,1.6470092733072306,0.25
50,0,0.25
51,0,0.25
52,0.5762120218636692,0.25
53,0.042857142857142864,0.25
54,0.7697096232160624,0.25
55,0.7229144103101078,0.25
56,0.014285714285714287,0.25
57,0.0125,0.25
58,0.6218022178676312,0.25
59,0.5456561041715251,0.25
60,0.6930214471909953,0.25
61,0.5137230965802342,0.25
62,0.0,0.25
63,1.1757287102108382,0.25
64,0.9414564560764135,0.25
65,0.0125,0.25
66,0.0125,0.25
67,0.6336173658204004,0.25
68,0.011111111111111112,0.25
69,1.3164362478168434,0.25
70,0.7401132812478314,0.25
71,0.8379331094043048,0.25
72,0.011111111111111112,0.25
73,0.0,0.25
74,0.0,0.25
75,0.4843554841573515,0.25
76,0.8175042454313777,0.25
77,1.2117652829149217,0.25
78,0.02,0.25
79,0.4607848141094335,0.25
80,0.6578077151277241,0.25
81,0.8197613525066444,0.25
82,0.0,0.25
83,0.38638972075631234,0.25
84,0.7416692037805936,0.25
85,0.8465688667898059,0.25
86,0.009090909090909092,0.25
87,0.0,0.25
88,0.009090909090909092,0.25
