time_step,equality,tax_rate
1,0.8832485781335279,0.25
2,0.8807893791251031,0.25
3,0.8797371433617841,0.25
4,0.8786702269583901,0.25
5,0.8775883205234014,0.25
6,0.8764911059099739,0.25
7,0.8753782559040297,0.25
8,0.8742494338989173,0.25
9,0.8706861542845543,0.25
10,0.8691133525564667,0.25
11,0.9008723721599858,0.25
12,0.8998954603420756,0.25
13,0.8989039593109275,0.25
14,0.9086507620318128,0.25
15,0.9095793186086087,0.25
16,0.9087715060413838,0.25
17,0.9075458178614686,0.25
18,0.9066912528099704,0.25
19,0.9144158773790518,0.25
20,0.8882692990992428,0.25
21,0.915623909179332,0.25
22,0.9158897035929933,0.25
23,0.9153156810796661,0.25
24,0.9147337697336091,0.25
25,0.9141438058044111,0.25
26,0.9135456209780762,0.25
27,0.9129390422169285,0.25
28,0.912323891592731,0.25
29,0.9116999861126791,0.25
30,0.9110671375379105,0.25
31,0.9328188641456164,0.25
32,0.9323303730805934,0.25
33,0.9318347260984117,0.25
34,0.9313317647980617,0.25
35,0.9309013648114416,0.25
36,0.9291160912320408,0.25
37,0.9276809730332825,0.25
38,0.9278844794888915,0.25
39,0.9285510680142905,0.25
40,0.9283559571929345,0.25
41,0.9325845488169604,0.25
42,0.9176601795279765,0.25
43,0.9166798658418894,0.25
44,0.9099037429666927,0.25
45,0.9092374238094896,0.25
46,0.9020444652070085,0.25
47,0.9157332274846834,0.25
48,0.9150476496659256,0.25
49,0.9191993899576,0.25
50,0.9190299863002119,0.25
51,0.9392576994601436,0.25
52,0.9181909479677469,0.25
53,0.9059406068083893,0.25
54,0.9052695310003313,0.25
55,0.9045888106724279,0.25
56,0.8804398397755598,0.25
57,0.8807900878388509,0.25
58,0.8798280013947084,0.25
59,0.8784531895429631,0.25
60,0.8775681420258482,0.25
61,0.9075025832179133,0.25
62,0.8777240965845514,0.25
63,0.8974398895968967,0.25
64,0.8972915689209854,0.25
65,0.897060027021817,0.25
66,0.8961799247601995,0.25
67,0.8952081203549176,0.25
68,0.8854191286418951,0.25
69,0.8844878112093423,0.25
70,0.8579988582713709,0.25
71,0.8926105424935389,0.25
72,0.8876154035839576,0.25
73,0.8886897446986506,0.25
74,0.8878435255610886,0.25
75,0.8860030438614761,0.25
76,0.8848646250734524,0.25
77,0.8867196728350184,0.25
78,0.8859785138602613,0.25
79,0.884810125893923,0.25
80,0.8651622952698614,0.25
81,0.8944682385449139,0.25
82,0.8676413977172219,0.25
83,0.866584691102611,0.25
84,0.8652234859106409,0.25
85,0.8638414391013113,0.25
86,0.8611978144516199,0.25
87,0.8434819745214147,0.25
88,0.8442331279595684,0.25
89,0.8436959474931334,0.25
90,0.8536066152155738,0.25
91,0.8893336495712819,0.25
92,0.8886010412756871,0.25
93,0.8605847471243953,0.25
94,0.8457736549286258,0.25
95,0.8407878289951647,0.25
96,0.8404170684564229,0.25
97,0.833954852742167,0.25
98,0.8331773578553757,0.25
99,0.8288313925013248,0.25
100,0.827438662827032,0.25
101,0.8692199960708991,0.25
102,0.8678412301543359,0.25
103,0.8605570725194136,0.25
104,0.8456022111200571,0.25
105,0.8431614193841245,0.25
106,0.8576347038143264,0.25
107,0.8559190239555233,0.25
108,0.8546581908572768,0.25
109,0.8288796733263747,0.25
110,0.8181319083969735,0.25
111,0.8753929729370592,0.25
112,0.8865711395556505,0.25
113,0.886035184207994,0.25
114,0.8907067072684991,0.25
115,0.8802033047706388,0.25
116,0.8798903027750218,0.25
117,0.8792362941713265,0.25
118,0.8769152928302217,0.25
119,0.8758813399209692,0.25
120,0.8572796280301537,0.25
121,0.8922120355247178,0.25
122,0.8913660209961304,0.25
123,0.8851468172641768,0.25
124,0.8758753470552709,0.25
125,0.876527657723927,0.25
126,0.8863559264943919,0.25
127,0.8858501460963777,0.25
128,0.8821414912889171,0.25
129,0.865017820955578,0.25
130,0.8643226421817661,0.25
131,0.8747707946987272,0.25
132,0.8936281927263652,0.25
133,0.8927081179182643,0.25
134,0.891614704103141,0.25
135,0.8917670426918356,0.25
136,0.8849611604632666,0.25
137,0.8696943795619065,0.25
138,0.874762856639711,0.25
139,0.874633089345941,0.25
140,0.8736955447283802,0.25
141,0.9015295023806704,0.25
142,0.8661356475728161,0.25
143,0.8707681376076675,0.25
144,0.869259467550612,0.25
145,0.8560316801468437,0.25
146,0.8660752811005739,0.25
147,0.8660452239482328,0.25
148,0.877345579966046,0.25
149,0.8889595665785712,0.25
150,0.8874282391306905,0.25
151,0.9167142516016276,0.25
152,0.8904116715764773,0.25
153,0.8915164822836715,0.25
154,0.8817508451443469,0.25
155,0.8803385422276794,0.25
156,0.8794905398909083,0.25
157,0.8867161887598423,0.25
158,0.8697576043624295,0.25
159,0.864446398920474,0.25
160,0.8634363779262992,0.25
161,0.8774751673252776,0.25
162,0.8767800801731879,0.25
163,0.8748128315273501,0.25
164,0.8606449077184557,0.25
165,0.8603633027434128,0.25
166,0.8596385034794292,0.25
167,0.8731450398721394,0.25
168,0.8676609321780345,0.25
169,0.8673749478882912,0.25
170,0.8760432981845905,0.25
171,0.9096403673413501,0.25
172,0.9101848217058279,0.25
173,0.907689503372787,0.25
174,0.9073752819485816,0.25
175,0.9106512037126087,0.25
176,0.9161310501306805,0.25
177,0.8937118073104564,0.25
178,0.8861953254560454,0.25
179,0.8799302651676264,0.25
180,0.8913359298327682,0.25
181,0.917583615328188,0.25
182,0.9325700326585002,0.25
183,0.9180097056777832,0.25
184,0.8932503869342108,0.25
185,0.8795719330064685,0.25
186,0.8787403939762076,0.25
187,0.867707020392841,0.25
188,0.8391633463867015,0.25
189,0.8400450635919464,0.25
190,0.8268102998814892,0.25
191,0.8793137725975937,0.25
192,0.8773382951339005,0.25
193,0.8761614490085607,0.25
194,0.8741050055145368,0.25
195,0.8778354465866948,0.25
196,0.8840173865774194,0.25
197,0.8837981149427526,0.25
198,0.8905069633592043,0.25
199,0.8998278121523978,0.25
200,0.8984525236150082,0.25
201,0.913125632313532,0.25
202,0.9095945264708559,0.25
203,0.8993104806343012,0.25
204,0.8933951932945979,0.25
205,0.9014986196062467,0.25
206,0.899490349802465,0.25
207,0.8996290411399348,0.25
208,0.8943830939944111,0.25
209,0.8937095641055467,0.25
210,0.889680493587027,0.25
211,0.9158066111314174,0.25
212,0.9085461568720277,0.25
213,0.9113147429227332,0.25
214,0.9117803230909536,0.25
215,0.9196359743355759,0.25
216,0.9291301314323015,0.25
217,0.9241333734645483,0.25
218,0.9240773756179003,0.25
219,0.9306765515874196,0.25
220,0.9291666239450441,0.25
221,0.9473246661688022,0.25
222,0.9343931826830529,0.25
223,0.9104991890406509,0.25
224,0.9104178723376053,0.25
225,0.9099265633780953,0.25
