time_step,avg_reward
1,26326.807269264664
2,26126.807269264664
3,25490.270358852184
4,25183.603692185516
5,26168.498922636136
6,25717.363280613405
7,25495.141058391182
8,25272.91883616896
9,25631.463543273003
10,25431.463543273003
11,25791.182319516465
12,25477.176184690914
13,25268.842851357582
14,26101.168700108272
15,25305.16870010827
16,25080.16870010827
17,25085.6740657598
18,29260.335089675344
19,35580.076625548696
20,35295.076625548696
21,35010.076625548696
22,34725.076625548696
23,34201.65995888203
24,33893.74329221537
25,33585.826625548696
26,33059.15995888203
27,32753.3266255487
28,33427.55043320581
29,33121.717099872476
30,34326.22399697772
31,34018.30733031105
32,33733.30733031105
33,33448.30733031105
34,33833.769496002715
35,33548.76949600271
36,33288.76949600271
37,34943.593415482406
38,35373.17225409147
39,35113.17225409147
40,34853.17225409146
41,34593.17225409147
42,34333.17225409147
43,33947.80840258826
44,33207.47506925493
45,32912.14925757971
46,32159.89502060188
47,31680.303007270624
48,31407.803007270624
49,34622.31458064411
50,34187.31458064412
51,33912.73124731078
52,34041.27634163031
53,33781.27634163031
54,33521.27634163031
55,33261.27634163031
56,34095.95963103953
57,37674.85220129754
58,41554.29846745419
59,41234.29846745418
60,40914.29846745419
61,40594.29846745418
62,40274.29846745418
63,39954.29846745419
64,39634.29846745419
65,39314.29846745419
66,38994.29846745419
67,38674.29846745419
68,38354.29846745418
69,38034.29846745418
70,37581.23758380662
71,37048.37670015906
72,36696.71003349239
73,36229.492069751344
74,35583.164519437116
75,35794.79064358088
76,36092.66348218025
77,35769.330148846915
78,35846.22949138284
79,34825.865605141465
80,35422.84621367909
81,35074.51288034576
82,34749.512880345756
83,34423.802774327465
84,34621.9903334941
85,35638.49666693665
86,34859.83000026998
87,33813.10244995575
88,33721.185638313545
89,33392.85230498021
90,32905.58563831355
91,34988.90626637835
92,35707.04458586577
93,35186.55623357392
94,34809.88956690726
95,34449.88956690726
96,35020.08290509961
97,34722.433455520586
98,34066.84097286478
99,34778.80468651363
100,38326.62066751362
101,44651.452722522336
102,44149.00827807789
103,43738.45272252233
104,45177.79542383528
105,49792.4607769354
106,55132.94708033364
107,54702.89746797713
108,54559.0416908228
109,53696.48663995922
110,56261.797601099024
111,55254.66824236842
112,55819.42151545403
113,55744.885289413665
114,56689.021752857145
115,56303.51501435584
116,55752.038820886024
117,56937.31554941418
118,56442.78240619655
119,55778.009678923816
120,55610.5107429882
121,54347.77453342896
122,53110.353887467056
123,53246.895147549025
124,56318.23720480089
125,59031.752018079176
126,60227.42248288625
127,59644.09548050468
128,60894.7846793316
129,63240.98923761925
130,62502.33823337808
131,61997.33823337808
132,61694.74000980865
133,61214.74000980866
134,61191.2057003655
135,62686.796195976116
136,66541.91064009248
137,71439.54062036579
138,70849.12916171037
139,70128.97061431984
140,71618.14336862428
141,75278.94388921579
142,78891.53968480081
143,79149.96523594092
144,78935.78324442575
145,78775.20800612788
146,78145.83300612788
147,77525.8330061279
148,76820.3330061279
149,75669.02050612791
150,76194.24629573718
151,79905.13168920553
152,84429.99985427922
153,83384.89043534294
154,81847.25029556362
155,83229.63631325905
156,83477.8039650207
157,82578.80706472663
158,85419.26739792047
159,88623.1078154092
160,98206.19318425845
161,101253.98049199708
162,107967.24161365246
163,106412.33964199721
164,105306.3866929419
165,103943.24939861696
166,105338.89700545747
167,105251.28063471353
168,106161.52671824764
169,105026.54837249083
170,105994.32332886536
171,105471.52338829698
172,108045.18346707153
173,113256.2858234078
174,112189.92995471462
175,110889.12207100759
176,114068.33419963298
177,114015.44695215151
178,120215.31755477149
179,123226.35657706589
180,129199.17184154854
181,134276.65920710788
182,134047.16297885444
183,134160.95900757052
184,135861.32990882875
185,138710.50496247923
186,142915.30975738354
187,143757.41149376665
188,145325.75334671506
189,143156.03182559155
190,144389.02409512474
191,145999.6805443175
192,144727.23732042892
193,143201.87521382797
194,142181.89208598528
195,147917.57561069354
196,155471.43736992864
197,156315.5084817932
198,156410.41272456478
199,155599.7965845862
200,154305.2596750791
201,153419.37303706392
202,152333.57458513952
203,156097.80849102302
204,154114.68346895685
205,153532.29695621625
206,152873.2040041961
207,151521.67553467583
208,151556.2782274884
209,153608.92240316383
210,156024.26844409772
211,156707.8913368798
212,155672.22195494254
213,154152.01824772905
214,154348.34039696903
215,152343.75769342712
216,154391.62856218644
217,152673.2843956655
218,151958.6930723019
219,151103.533208438
220,151936.43966445746
221,155425.05786959967
222,162359.16835997932
223,161606.08871920095
224,161041.63459354325
225,161311.62840025846
226,161076.86631926658
227,159487.4109256599
228,159419.8754184599
229,160107.74064265515
230,158281.61024533954
231,156662.00878161954
232,155497.6396182552
233,154388.53408199456
234,152905.99616181036
