time_step,nums,service_type
174,1107,A
174,1677,B
174,1211,C
175,1118,A
175,1700,B
175,1221,C
176,1129,A
176,1723,B
176,1231,C
177,1140,A
177,1746,B
177,1241,C
178,1151,A
178,1769,B
178,1251,C
179,1162,A
179,1792,B
179,1261,C
180,1173,A
180,1817,B
180,1271,C
181,1184,A
181,1844,B
181,1282,C
182,1195,A
182,1871,B
182,1293,C
183,1206,A
183,1898,B
183,1304,C
184,1218,A
184,1925,B
184,1315,C
185,1232,A
185,1952,B
185,1326,C
186,1246,A
186,1979,B
186,1337,C
187,1260,A
187,2006,B
187,1348,C
188,1274,A
188,2033,B
188,1359,C
189,1288,A
189,2060,B
189,1370,C
190,1303,A
190,2087,B
190,1381,C
191,1318,A
191,2114,B
191,1392,C
192,1334,A
192,2142,B
192,1403,C
193,1350,A
193,2172,B
193,1414,C
194,1366,A
194,2202,B
194,1425,C
195,1382,A
195,2232,B
195,1436,C
196,1398,A
196,2262,B
196,1447,C
197,1414,A
197,2292,B
197,1458,C
198,1430,A
198,2322,B
198,1469,C
199,1446,A
199,2352,B
199,1480,C
200,1462,A
200,2382,B
200,1491,C
201,1478,A
201,2412,B
201,1502,C
202,1494,A
202,2442,B
202,1513,C
203,1510,A
203,2472,B
203,1524,C
204,1526,A
204,2502,B
204,1535,C
205,1542,A
205,2533,B
205,1546,C
206,1558,A
206,2566,B
206,1557,C
207,1574,A
207,2599,B
207,1568,C
208,1590,A
208,2632,B
208,1579,C
209,1606,A
209,2665,B
209,1590,C
210,1622,A
210,2698,B
210,1601,C
211,1638,A
211,2731,B
211,1612,C
212,1654,A
212,2764,B
212,1623,C
213,1670,A
213,2797,B
213,1634,C
214,1686,A
214,2830,B
214,1645,C
215,1702,A
215,2863,B
215,1656,C
216,1718,A
216,2896,B
216,1667,C
217,1734,A
217,2929,B
217,1678,C
218,1750,A
218,2962,B
218,1689,C
219,1766,A
219,2995,B
219,1700,C
220,1782,A
220,3028,B
220,1711,C
221,1798,A
221,3061,B
221,1723,C
222,1814,A
222,3094,B
222,1735,C
223,1830,A
223,3127,B
223,1747,C
224,1846,A
224,3160,B
224,1759,C
225,1862,A
225,3193,B
225,1771,C
226,1878,A
226,3228,B
226,1784,C
227,1894,A
227,3265,B
227,1797,C
228,1910,A
228,3302,B
228,1810,C
229,1926,A
229,3339,B
229,1823,C
230,1942,A
230,3376,B
230,1836,C
231,1958,A
231,3413,B
231,1849,C
232,1974,A
232,3450,B
232,1862,C
233,1990,A
233,3487,B
233,1875,C
234,2006,A
234,3524,B
234,1888,C
235,2022,A
235,3562,B
235,1901,C
236,2038,A
236,3600,B
236,1914,C
237,2054,A
237,3638,B
237,1927,C
238,2070,A
238,3676,B
238,1940,C
239,2086,A
239,3714,B
239,1953,C
240,2102,A
240,3752,B
240,1966,C
241,2118,A
241,3790,B
241,1979,C
242,2134,A
242,3828,B
242,1992,C
243,2150,A
243,3866,B
243,2005,C
244,2166,A
244,3904,B
244,2018,C
245,2182,A
245,3942,B
245,2031,C
246,2198,A
246,3980,B
246,2044,C
247,2214,A
247,4018,B
247,2057,C
248,2230,A
248,4056,B
248,2070,C
249,2246,A
249,4094,B
249,2083,C
250,2262,A
250,4132,B
250,2096,C
251,2278,A
251,4170,B
251,2109,C
252,2294,A
252,4208,B
252,2122,C
253,2310,A
253,4246,B
253,2135,C
254,2326,A
254,4284,B
254,2148,C
255,2342,A
255,4322,B
255,2161,C
256,2358,A
256,4360,B
256,2174,C
257,2374,A
257,4398,B
257,2187,C
258,2390,A
258,4436,B
258,2200,C
259,2406,A
259,4474,B
259,2213,C
260,2422,A
260,4513,B
260,2226,C
261,2439,A
261,4552,B
261,2239,C
262,2456,A
262,4591,B
262,2252,C
263,2473,A
263,4630,B
263,2265,C
264,2490,A
264,4669,B
264,2278,C
265,2507,A
265,4708,B
265,2291,C
266,2524,A
266,4747,B
266,2304,C
267,2541,A
267,4786,B
267,2317,C
268,2558,A
268,4825,B
268,2330,C
269,2575,A
269,4864,B
269,2343,C
270,2592,A
270,4903,B
270,2356,C
271,2609,A
271,4942,B
271,2369,C
272,2626,A
272,4981,B
272,2382,C
273,2643,A
273,5020,B
273,2395,C
274,2660,A
274,5059,B
274,2408,C
275,2677,A
275,5098,B
275,2421,C
276,2694,A
276,5137,B
276,2435,C
277,2711,A
277,5176,B
277,2449,C
278,2728,A
278,5215,B
278,2463,C
279,2745,A
279,5254,B
279,2477,C
280,2762,A
280,5293,B
280,2491,C
281,2779,A
281,5332,B
281,2505,C
282,2796,A
282,5372,B
282,2519,C
283,2813,A
283,5414,B
283,2533,C
284,2831,A
284,5456,B
284,2547,C
285,2852,A
285,5498,B
285,2561,C
286,2874,A
286,5540,B
286,2575,C
287,2898,A
287,5583,B
287,2589,C
288,2923,A
288,5628,B
288,2603,C
289,2948,A
289,5673,B
289,2617,C
290,2973,A
290,5718,B
290,2631,C
291,2998,A
291,5763,B
291,2645,C
292,3024,A
292,5808,B
292,2659,C
293,3050,A
293,5853,B
293,2673,C
294,3076,A
294,5898,B
294,2687,C
295,3102,A
295,5943,B
295,2701,C
296,3128,A
296,5988,B
296,2715,C
297,3154,A
297,6033,B
297,2729,C
298,3180,A
298,6078,B
298,2743,C
299,3206,A
299,6123,B
299,2757,C
300,3232,A
300,6168,B
300,2771,C
301,3258,A
301,6213,B
301,2785,C
302,3284,A
302,6258,B
302,2799,C
303,3310,A
303,6303,B
303,2813,C
304,3336,A
304,6348,B
304,2827,C
305,3362,A
305,6393,B
305,2841,C
306,3388,A
306,6438,B
306,2855,C
307,3414,A
307,6483,B
307,2869,C
308,3440,A
308,6528,B
308,2883,C
309,3466,A
309,6573,B
309,2897,C
310,3492,A
310,6618,B
310,2911,C
311,3518,A
311,6663,B
311,2925,C
312,3544,A
312,6708,B
312,2939,C
313,3570,A
313,6753,B
313,2953,C
314,3596,A
314,6798,B
314,2967,C
315,3622,A
315,6843,B
315,2981,C
316,3648,A
316,6888,B
316,2995,C
317,3674,A
317,6933,B
317,3009,C
318,3700,A
318,6978,B
318,3023,C
319,3726,A
319,7023,B
319,3037,C
320,3752,A
320,7069,B
320,3051,C
321,3778,A
321,7115,B
321,3065,C
322,3804,A
322,7161,B
322,3079,C
323,3830,A
323,7207,B
323,3093,C
324,3857,A
324,7253,B
324,3107,C
325,3886,A
325,7299,B
325,3121,C
326,3915,A
326,7345,B
326,3135,C
327,3944,A
327,7391,B
327,3149,C
328,3973,A
328,7437,B
328,3163,C
329,4002,A
329,7483,B
329,3177,C
330,4031,A
330,7529,B
330,3191,C
331,4060,A
331,7575,B
331,3205,C
332,4089,A
332,7621,B
332,3219,C
333,4118,A
333,7667,B
333,3233,C
334,4147,A
334,7713,B
334,3247,C
335,4176,A
335,7759,B
335,3261,C
336,4205,A
336,7805,B
336,3275,C
337,4234,A
337,7851,B
337,3289,C
338,4263,A
338,7897,B
338,3303,C
339,4292,A
339,7943,B
339,3317,C
340,4321,A
340,7989,B
340,3331,C
341,4350,A
341,8035,B
341,3345,C
342,4379,A
342,8082,B
342,3359,C
343,4408,A
343,8131,B
343,3373,C
344,4437,A
344,8180,B
344,3387,C
345,4466,A
345,8230,B
345,3401,C
346,4495,A
346,8281,B
346,3415,C
347,4524,A
347,8334,B
347,3429,C
348,4553,A
348,8387,B
348,3443,C
349,4582,A
349,8440,B
349,3457,C
350,4612,A
350,8493,B
350,3471,C
351,4644,A
351,8547,B
351,3485,C
352,4676,A
352,8603,B
352,3499,C
353,4708,A
353,8659,B
353,3513,C
354,4740,A
354,8715,B
354,3527,C
355,4772,A
355,8771,B
355,3541,C
356,4804,A
356,8827,B
356,3555,C
357,4836,A
357,8883,B
357,3569,C
358,4868,A
358,8939,B
358,3583,C
359,4900,A
359,8995,B
359,3597,C
360,4932,A
360,9051,B
360,3611,C
361,4964,A
361,9107,B
361,3625,C
362,4996,A
362,9163,B
362,3639,C
363,5029,A
363,9219,B
363,3653,C
364,5064,A
364,9275,B
364,3667,C
365,5099,A
365,9331,B
365,3681,C
366,5134,A
366,9387,B
366,3695,C
367,5169,A
367,9443,B
367,3709,C
368,5204,A
368,9499,B
368,3723,C
369,5239,A
369,9555,B
369,3737,C
370,5274,A
370,9611,B
370,3751,C
371,5309,A
371,9667,B
371,3765,C
372,5345,A
372,9723,B
372,3779,C
373,5381,A
373,9779,B
373,3793,C
374,5417,A
374,9835,B
374,3807,C
375,5453,A
375,9891,B
375,3821,C
376,5489,A
376,9947,B
376,3835,C
377,5525,A
377,10003,B
377,3849,C
378,5561,A
378,10059,B
378,3863,C
379,5597,A
379,10115,B
379,3877,C
380,5633,A
380,10171,B
380,3891,C
381,5669,A
381,10227,B
381,3905,C
382,5705,A
382,10283,B
382,3919,C
383,5741,A
383,10339,B
383,3933,C
384,5777,A
384,10395,B
384,3947,C
385,5814,A
385,10451,B
385,3961,C
386,5851,A
386,10507,B
386,3975,C
387,5888,A
387,10563,B
387,3989,C
388,5925,A
388,10619,B
388,4003,C
389,5962,A
389,10675,B
389,4017,C
390,6000,A
390,10731,B
390,4031,C
391,6040,A
391,10787,B
391,4045,C
392,6080,A
392,10843,B
392,4059,C
393,6120,A
393,10899,B
393,4073,C
394,6160,A
394,10955,B
394,4087,C
395,6200,A
395,11011,B
395,4101,C
396,6240,A
396,11067,B
396,4115,C
397,6280,A
397,11123,B
397,4129,C
398,6320,A
398,11179,B
398,4143,C
399,6360,A
399,11235,B
399,4157,C
400,6400,A
400,11291,B
400,4171,C
401,6440,A
401,11347,B
401,4185,C
402,6481,A
402,11403,B
402,4199,C
403,6524,A
403,11459,B
403,4213,C
404,6567,A
404,11515,B
404,4227,C
405,6610,A
405,11572,B
405,4241,C
406,6653,A
406,11631,B
406,4255,C
407,6696,A
407,11690,B
407,4269,C
408,6739,A
408,11749,B
408,4283,C
409,6782,A
409,11808,B
409,4297,C
410,6825,A
410,11867,B
410,4311,C
411,6868,A
411,11926,B
411,4325,C
412,6911,A
412,11985,B
412,4339,C
413,6954,A
413,12044,B
413,4353,C
414,6997,A
414,12103,B
414,4367,C
415,7040,A
415,12162,B
415,4381,C
416,7083,A
416,12221,B
416,4395,C
417,7126,A
417,12280,B
417,4409,C
418,7169,A
418,12339,B
418,4423,C
419,7212,A
419,12398,B
419,4437,C
420,7255,A
420,12457,B
420,4451,C
421,7298,A
421,12516,B
421,4465,C
422,7342,A
422,12575,B
422,4479,C
423,7386,A
423,12634,B
423,4493,C
424,7430,A
424,12693,B
424,4507,C
425,7474,A
425,12752,B
425,4521,C
426,7518,A
426,12811,B
426,4535,C
427,7562,A
427,12870,B
427,4549,C
428,7606,A
428,12929,B
428,4563,C
429,7650,A
429,12989,B
429,4577,C
430,7695,A
430,13051,B
430,4591,C
431,7740,A
431,13113,B
431,4605,C
432,7785,A
432,13175,B
432,4619,C
433,7830,A
433,13237,B
433,4633,C
434,7875,A
434,13299,B
434,4647,C
435,7920,A
435,13361,B
435,4661,C
436,7965,A
436,13423,B
436,4675,C
437,8010,A
437,13485,B
437,4689,C
438,8056,A
438,13547,B
438,4703,C
439,8104,A
439,13609,B
439,4717,C
440,8152,A
440,13671,B
440,4731,C
441,8200,A
441,13733,B
441,4745,C
442,8248,A
442,13795,B
442,4759,C
443,8296,A
443,13857,B
443,4773,C
444,8344,A
444,13919,B
444,4787,C
445,8392,A
445,13981,B
445,4801,C
446,8440,A
446,14043,B
446,4815,C
447,8488,A
447,14105,B
447,4829,C
448,8536,A
448,14167,B
448,4843,C
449,8584,A
449,14230,B
449,4857,C
450,8632,A
450,14295,B
450,4871,C
451,8680,A
451,14360,B
451,4885,C
452,8728,A
452,14425,B
452,4899,C
453,8776,A
453,14490,B
453,4913,C
454,8824,A
454,14555,B
454,4927,C
