time_step,equality,tax_rate
1,0.8832485781335279,0.25
2,0.8824948728176183,0.25
3,0.873986446539394,0.25
4,0.8731558431962876,0.25
5,0.8912113153629809,0.25
6,0.8877662348504337,0.25
7,0.8866565128860856,0.25
8,0.8855310908098991,0.25
9,0.8847638736981297,0.25
10,0.8839863027897573,0.25
11,0.9053000000344295,0.25
12,0.9066695620491929,0.25
13,0.9057840958033857,0.25
14,0.9098174935569244,0.25
15,0.898124497199952,0.25
16,0.8969515590099617,0.25
17,0.6144106465055814,0.25
18,0.5867864901451975,0.25
19,0.7507479866503228,0.25
20,0.8760925017077651,0.25
21,0.9062931199977823,0.25
22,0.9055075753684023,0.25
23,0.8921125403307901,0.25
24,0.8910212338220074,0.25
25,0.8899162719018783,0.25
26,0.8897336391334068,0.25
27,0.8888297227079262,0.25
28,0.8954760658950072,0.25
29,0.8943811191998258,0.25
30,0.8932721552547218,0.25
31,0.9190027526747586,0.25
32,0.905282347292443,0.25
33,0.9044647570845287,0.25
34,0.9122013068667393,0.25
35,0.9114241550465777,0.25
36,0.9106373099727801,0.25
37,0.9098405891543442,0.25
38,0.9092927526819683,0.25
39,0.9247867630112269,0.25
40,0.9243309668362387,0.25
41,0.9429022095114861,0.25
42,0.9425519486978601,0.25
43,0.942311537532189,0.25
44,0.9392189691730247,0.25
45,0.9386163919125211,0.25
46,0.9336117663481036,0.25
47,0.9310335811639535,0.25
48,0.9303680638481852,0.25
49,0.9311098951154657,0.25
50,0.9283172472859794,0.25
51,0.9460005336316823,0.25
52,0.949947588337071,0.25
53,0.9496309164831449,0.25
54,0.9493102120738187,0.25
55,0.9489853975886022,0.25
56,0.7979620479815386,0.25
57,0.858826773027864,0.25
58,0.9534043942077864,0.25
59,0.9530995020838829,0.25
60,0.9527905936379203,0.25
61,0.9643581917377356,0.25
62,0.9641203045765351,0.25
63,0.963879220577261,0.25
64,0.9636348748631005,0.25
65,0.9658009752768156,0.25
66,0.9657087950681269,0.25
67,0.9656152949507208,0.25
68,0.9653752977381893,0.25
69,0.9651319267283303,0.25
70,0.9658723962570638,0.25
71,0.9600953712911879,0.25
72,0.9596972355366957,0.25
73,0.9594078009624857,0.25
74,0.9476449803341409,0.25
75,0.9398921733987401,0.25
76,0.9394355879467733,0.25
77,0.9391948493210239,0.25
78,0.9387522904081331,0.25
79,0.9333254486701515,0.25
80,0.910620120593697,0.25
81,0.9354449083748764,0.25
82,0.9327142458470201,0.25
83,0.9270635644864504,0.25
84,0.9245726122280107,0.25
85,0.9237617109302729,0.25
86,0.9057636134387104,0.25
87,0.9076486612310894,0.25
88,0.9068990955974426,0.25
89,0.9094641687518499,0.25
90,0.9042391335003443,0.25
91,0.927667974098423,0.25
92,0.9104851189595117,0.25
93,0.8921472696905023,0.25
94,0.8890600101852875,0.25
95,0.8976209163044981,0.25
96,0.894395115381174,0.25
97,0.9032264144990383,0.25
98,0.8954013178482271,0.25
99,0.8929209996258086,0.25
100,0.8898851103793641,0.25
101,0.9101162859267423,0.25
102,0.9088737790598537,0.25
103,0.9109432716754332,0.25
104,0.9098672646557235,0.25
105,0.9118079675632135,0.25
106,0.9061488898917772,0.25
107,0.9082556037181906,0.25
108,0.9073758727267729,0.25
109,0.8009758601871579,0.25
110,0.8532491773249432,0.25
111,0.933254306961296,0.25
112,0.9176541213114047,0.25
113,0.9144441319193737,0.25
114,0.9137142836356806,0.25
115,0.9129636143237188,0.25
116,0.9133825688680863,0.25
117,0.9126987240519133,0.25
118,0.9134852628108447,0.25
119,0.913980449564309,0.25
120,0.909927787855652,0.25
121,0.9297928733405246,0.25
122,0.924136628320238,0.25
123,0.9055375227034173,0.25
124,0.8450913691603975,0.25
125,0.8868534609717039,0.25
126,0.882998383686259,0.25
127,0.8957507036134866,0.25
128,0.8961904195131702,0.25
129,0.9110391239088169,0.25
130,0.904798034900164,0.25
131,0.9206909402669992,0.25
132,0.9183648845001532,0.25
133,0.9102058130360388,0.25
134,0.9094426201537692,0.25
135,0.895408950067204,0.25
136,0.8840977247462714,0.25
137,0.8869250716868693,0.25
138,0.8860058111087745,0.25
139,0.884965598025208,0.25
140,0.8911236631276647,0.25
141,0.8953367062521579,0.25
142,0.8781532896895904,0.25
143,0.8757150487827217,0.25
144,0.874760382811925,0.25
145,0.8755835610450351,0.25
146,0.8782832791009543,0.25
147,0.8800754807270743,0.25
148,0.7433060253458639,0.25
149,0.7849839869863396,0.25
150,0.8628549307472684,0.25
151,0.8787164359034348,0.25
152,0.8775240164805186,0.25
