time_step,equality,tax_rate
1,0.8832485781335279,0.25
2,0.8824948728176183,0.25
3,0.873986446539394,0.25
4,0.8742504542645,0.25
5,0.8924756214563976,0.25
6,0.8890252804030218,0.25
7,0.8879180890259235,0.25
8,0.886795142869939,0.25
9,0.8785089816180358,0.25
10,0.8777072022022727,0.25
11,0.9055329591769458,0.25
12,0.9057971790856947,0.25
13,0.9051752311054535,0.25
14,0.9129718280261433,0.25
15,0.9016517461209381,0.25
16,0.9005362519868008,0.25
17,0.6238919788317621,0.25
18,0.7215262597659768,0.25
19,0.8693735115008323,0.25
20,0.8685757851276763,0.25
21,0.9169421095838173,0.25
22,0.9164369186245153,0.25
23,0.9159255445141585,0.25
24,0.9154078730382363,0.25
25,0.914883787151799,0.25
26,0.910671359360109,0.25
27,0.9097790582554719,0.25
28,0.9092073272591951,0.25
29,0.9086283039213711,0.25
30,0.9211786250272227,0.25
31,0.9405106244586063,0.25
32,0.9401325345015936,0.25
33,0.9397496078365248,0.25
34,0.9393617510557085,0.25
35,0.9333149716889682,0.25
36,0.932875841963737,0.25
37,0.9324308904466756,0.25
38,0.937810291123971,0.25
39,0.9408950320497741,0.25
40,0.9219564942252649,0.25
41,0.9277772270606419,0.25
42,0.9058419609573032,0.25
43,0.9056483647132937,0.25
44,0.9050743574895459,0.25
45,0.9044926996159881,0.25
46,0.8972933922789005,0.25
47,0.8923357956237308,0.25
48,0.8910332780936716,0.25
49,0.8824902999279901,0.25
50,0.8817223306197572,0.25
51,0.9107081930140364,0.25
52,0.9128516378459011,0.25
53,0.9213301871879879,0.25
54,0.9223973255281115,0.25
55,0.9220228813607707,0.25
56,0.9216432722604349,0.25
57,0.9211242355823773,0.25
58,0.9205982768317482,0.25
59,0.9200652566058543,0.25
60,0.7387171400292821,0.25
61,0.8443254124924178,0.25
62,0.9401090804578761,0.25
63,0.9419587346247522,0.25
64,0.9416686336546516,0.25
65,0.9443560367105653,0.25
66,0.9439752235688158,0.25
67,0.9435891621323693,0.25
68,0.9431977431518916,0.25
69,0.9313774846093738,0.25
70,0.927769750805506,0.25
71,0.9452118121701171,0.25
72,0.9420632612031447,0.25
73,0.9413909005679058,0.25
74,0.9412459512510479,0.25
75,0.9217608147413205,0.25
76,0.9210195227249459,0.25
77,0.920359588352269,0.25
78,0.9222679460710211,0.25
79,0.9135988408556712,0.25
80,0.9072375638999608,0.25
81,0.9294077870354759,0.25
82,0.9286730818221637,0.25
83,0.9279272955962319,0.25
84,0.9168177632715828,0.25
85,0.921381151152608,0.25
86,0.9235303648041647,0.25
87,0.9187813339835924,0.25
88,0.909086593363607,0.25
89,0.9087260711182236,0.25
90,0.90954364413894,0.25
91,0.9170081902356454,0.25
92,0.9036926057007204,0.25
93,0.9022355172681736,0.25
94,0.904189224972332,0.25
95,0.9030326623769785,0.25
96,0.8820569866423493,0.25
97,0.6644199629150447,0.25
98,0.7745884408225838,0.25
99,0.9035980424222569,0.25
100,0.9030319685940346,0.25
101,0.9117004619492478,0.25
102,0.9155714787444873,0.25
103,0.9183115954497872,0.25
104,0.9167075783050822,0.25
105,0.9065647045103166,0.25
106,0.9060575191551961,0.25
107,0.9054246854228815,0.25
108,0.900399939610306,0.25
109,0.8104473605945669,0.25
110,0.8583195760760516,0.25
111,0.9339251469933165,0.25
112,0.9334507324026056,0.25
113,0.9381695311666108,0.25
114,0.9122890352625967,0.25
115,0.9103780468544277,0.25
116,0.9084796298540747,0.25
117,0.9058258556894445,0.25
118,0.9064121762312581,0.25
119,0.9021212929408392,0.25
120,0.9028408374623901,0.25
121,0.9161508628499665,0.25
122,0.9201907209275388,0.25
123,0.9027300454954911,0.25
124,0.8940080947016396,0.25
125,0.8970417282198113,0.25
126,0.8954557599132376,0.25
127,0.8946425241303468,0.25
128,0.8993520679973191,0.25
129,0.8907819073867944,0.25
130,0.8902727151381912,0.25
131,0.845927993673528,0.25
132,0.8898903825188555,0.25
133,0.8893641666236985,0.25
134,0.8893511708068893,0.25
135,0.8772587580726001,0.25
136,0.8757759038844705,0.25
137,0.8750435564786329,0.25
138,0.8743004435048691,0.25
139,0.8660933069991987,0.25
140,0.86660467082402,0.25
141,0.9009187459654778,0.25
142,0.9018600957416578,0.25
143,0.9039439730335155,0.25
144,0.8872559303004927,0.25
145,0.8781202153186924,0.25
146,0.8715034282478102,0.25
147,0.8639777614297285,0.25
148,0.8646641763388625,0.25
149,0.8218750299371237,0.25
150,0.8592060140131433,0.25
151,0.8852355369572225,0.25
152,0.872287980036991,0.25
