time_step,avg_reward
1,20446.413356163343
2,20246.413356163346
3,20046.413356163346
4,19846.413356163346
5,19646.413356163346
6,19446.413356163343
7,19246.413356163346
8,19046.413356163343
9,18846.413356163346
10,18646.413356163346
11,18446.413356163346
12,18246.413356163346
13,18046.413356163346
14,17846.413356163346
15,17646.413356163346
16,17446.413356163346
17,17246.41335616335
18,17046.413356163346
19,16846.413356163346
20,16646.413356163346
21,16443.88014927097
22,16241.102371493193
23,16038.324593715415
24,15835.546815937634
25,15632.769038159859
26,15429.991260382081
27,15227.213482604304
28,15027.213482604302
29,14846.413356163348
30,14646.413356163348
31,14382.725998489079
32,14174.392665155747
33,13966.059331822415
34,13658.047833660927
35,13438.603389216483
36,13168.343039706519
37,12951.67637303985
38,13069.776615376784
39,13762.015316443021
40,13539.793094220799
41,13339.793094220799
42,13139.793094220797
43,13985.814071877881
44,15013.513953409887
45,14712.378564850756
46,14495.71189818409
47,14262.253281035863
48,14059.475503258083
49,13856.697725480308
50,13656.697725480308
51,14094.76121960735
52,13823.156040717646
53,13813.72478663315
54,13568.204288310657
55,13348.759843866213
56,13148.759843866215
57,12948.759843866213
58,12788.759843866213
59,13788.495496332973
60,13428.560620785973
61,13246.33839856375
62,12975.85952561352
63,12801.97063672463
64,12641.970636724629
65,15213.297010666858
66,14869.206146750152
67,15421.728962556206
68,15155.318139482672
69,14937.818139482672
70,14630.282500235951
71,14916.536922553563
72,14716.536922553561
73,14601.530750283207
74,16322.383395514284
75,16119.88339551428
76,16003.438840304012
77,15744.869803526506
78,15498.56869775381
79,15227.847226086855
80,15002.847226086851
81,14800.347226086853
82,15651.66189601499
83,15464.161896014992
84,15186.03840113964
85,15180.921464516076
86,15304.101841946353
87,15114.10184194635
88,14850.202326157154
89,14563.210137992499
90,15512.542636821081
91,15290.04263682108
92,15067.542636821081
93,14865.04263682108
94,14662.542636821081
95,14460.042636821081
96,15472.018828107179
97,15083.528838540005
98,14729.056092223873
99,14491.556092223875
100,14755.196721128385
101,15064.779962260262
102,15151.176644084406
103,15966.44043527564
104,15704.507672830798
105,16413.95211297801
106,16223.95211297801
107,15876.772991452211
108,16808.783262545723
109,16606.283262545723
110,16915.90119501859
111,16735.90119501859
112,16475.59694717491
113,16283.096947174909
114,17194.064756089527
115,16921.961770794016
116,16741.961770794012
117,17005.08457956118
118,16733.288361352992
119,17391.844248239137
120,17196.844248239133
121,17001.844248239133
122,18482.43112178952
123,19955.880229676368
124,19736.226439273338
125,19533.953712000613
126,20191.525453073184
127,19922.204495797716
128,19756.648856686723
129,19524.830674868543
130,19297.557947595815
131,19230.411692571266
132,19019.40881756654
133,18643.371413211808
134,18834.72362903718
135,19394.168686330344
136,19155.532322693984
137,18944.168686330348
138,18732.80504996671
139,18521.441413603075
140,19355.243730093825
141,19015.799801146713
142,18768.072528419438
143,18820.74945740484
144,18611.65854831393
145,18304.279048361903
146,19379.945641261027
147,19776.409907020003
148,19367.90228612633
149,19133.81137703542
150,18922.44774067178
151,18699.221367446116
152,19574.446870183558
153,20497.64233309621
154,20270.369605823482
155,20001.073442143635
156,19766.982533052727
157,19873.12943329358
158,21020.31940962976
159,20741.684015510356
160,20604.615873197778
161,20697.952752277837
162,21259.218896979473
163,21024.635563646138
164,21905.745705036246
165,23717.630276312964
166,23420.922847242095
167,24074.818120770513
168,23826.675152876913
169,23586.675152876913
170,23460.405100679855
171,23638.7950590636
172,23536.353969620523
173,23229.058886085797
174,22967.90503993195
175,23238.710827568644
176,22861.19281808969
177,24458.095020933364
178,26017.93980451289
179,27205.421648827058
180,27314.911780947412
181,27747.302925652737
182,28937.856222096925
183,30293.41777737786
184,30118.121227228243
185,30997.36370645351
186,32415.679690161593
187,32998.17766192759
188,32567.241780334996
189,32237.313927045307
190,31936.24249847388
191,31876.670699327497
192,34224.26168604164
193,34847.907979260075
194,36297.752631988704
195,36292.44289216159
196,36007.919043774105
197,36854.47375882247
198,36556.14042548914
199,36255.59872446923
200,35970.59872446923
201,37224.290338226136
202,37898.32035986609
203,37444.02548661942
204,36868.17992716714
205,37477.83826995723
206,38221.3116510927
207,37899.64498442603
208,37581.372986173854
209,38326.65838305591
210,39779.530570916984
211,39698.70223174061
212,40070.5169614913
213,39725.72047605625
214,39400.72047605626
215,39960.38323185802
216,40768.3741860104
217,42152.427829054825
218,41832.57938730831
219,43161.21397642351
220,42657.46328687799
221,42648.60652290357
222,44276.605788168796
223,43896.31167052173
224,44029.02738287209
225,43688.43914757796
226,43163.89780928847
227,44591.35997153866
228,44370.86709430418
229,45184.05183711687
230,45363.126800336395
231,44957.07416875745
232,44476.789942634256
233,46029.10133411716
234,47461.85854395616
235,49069.11982702913
236,49298.2516891675
237,48918.51484706224
238,48373.108378636345
239,49696.448372635685
240,50558.633633634185
241,50885.77685945372
242,50757.685148400466
243,50786.18341459569
244,50451.569739367216
245,52765.59803847752
246,53427.886799674125
247,54003.67183687583
248,53607.911188103026
249,54983.9693750339
250,54559.47062603561
251,53977.224405137655
252,53520.711282060285
253,52863.43452042353
254,52491.126627593025
255,51977.77597526811
256,51702.28584706512
257,52160.76420114721
258,52971.740804217574
259,52492.46392996162
260,54060.696435047445
261,54290.97279318922
262,55329.18758901407
263,55784.713732597345
264,56870.34266298784
265,57207.30615840616
266,56708.08994303532
267,56941.20705307754
268,56677.09084130766
269,60604.46401448432
270,61596.16214487141
271,63687.58630611814
272,63172.29075385656
273,64322.65866312622
274,66774.26608727238
275,67048.18341441861
276,66116.37055254575
277,66476.79540191263
278,69513.20904380443
279,69903.47121772694
280,71054.22247545501
281,73327.80117355903
282,74170.00319624871
283,73455.68185691805
284,74335.71795153283
285,74900.15756054017
286,74399.22630506307
287,74086.17864697812
288,73791.78985703658
289,74416.71074415215
290,75827.96049614917
291,77525.59876678039
292,78266.89411259507
293,80424.08906751972
294,81085.06495243008
295,80590.1259762941
296,79925.90400941278
297,81673.33561504625
298,81919.54398804528
299,82654.66216078005
300,81768.74509032497
301,80947.4287342603
302,80636.41910096726
303,81790.24049385071
304,82946.70237356679
305,82972.88178079294
306,84431.66749288248
307,83810.56460170056
308,84276.54624587964
309,85758.17008647241
310,87384.1297646805
311,88212.97846447297
312,87364.59802313737
313,87708.63318940176
314,88645.89539294649
315,88193.61266514214
316,88440.84901593279
317,88693.90526473215
318,90937.35475014693
319,92015.82409108435
320,92735.71452467103
321,93917.69245986083
322,96668.53762474553
323,97620.97422562558
324,97474.44350837148
325,97358.8286830283
326,98300.50594583548
327,97532.0808939616
328,96642.03576562257
329,96688.22149419566
330,97648.1118516162
331,99954.63233443312
332,100341.40354965736
333,100161.4274508609
334,102700.079047846
335,104000.29874740784
336,103184.54300871724
337,105208.3813831892
338,105624.87032127849
339,105741.09183618012
340,105569.78399513043
341,105587.24847335194
342,104518.31694072371
343,104548.77962415542
344,105955.16821042629
345,105470.72029217961
346,105487.58967893048
347,105568.83319255308
348,106578.07199056081
349,108215.43079126843
350,107952.9650877571
351,108032.75773815038
352,107157.87137451403
353,106807.80541287846
354,106894.33377944789
355,107773.47776157652
356,107738.48169971937
357,107528.93270595938
358,106517.3602630735
359,105254.82674874018
360,105584.30552606162
361,105686.8214082399
362,105678.01964908789
363,105984.45624933654
364,107306.01832188242
365,107466.64015643338
