time_step,Service Performance,tax_rate
141,21695.46125422367,0.15
142,21851.33487730732,0.15
143,21615.223766196206,0.15
144,21378.812032895657,0.15
145,21903.795759256445,0.15
146,21598.961863741002,0.15
147,22433.053955268202,0.15
148,21997.908475062894,0.15
149,21731.24180839623,0.15
150,21773.029438323796,0.15
151,23193.4485232488,0.15
152,22935.1721060976,0.15
153,25466.77108567956,0.15
154,25238.993307901783,0.15
155,25075.82172049549,0.15
156,24842.488387162153,0.15
157,24609.15505382882,0.15
158,24323.530004668304,0.15
159,24084.641115779414,0.15
160,23759.844145001174,0.15
161,24275.647408514888,0.15
162,24025.647408514888,0.15
163,23943.942016142493,0.15
164,23677.728456705958,0.15
165,24090.148521542866,0.15
166,23617.476020181468,0.15
167,23350.8093535148,0.15
168,23070.30451957452,0.15
169,23085.706258335857,0.15
170,22659.172841585525,0.15
171,25246.81023991973,0.15
172,26256.92042893874,0.15
173,26097.23442965117,0.15
174,27254.925588664522,0.15
175,27164.76203089638,0.15
176,28829.458982546028,0.15
177,29425.017893411517,0.15
178,29057.2849428621,0.15
179,28632.247460561604,0.15
180,28781.091309469182,0.15
181,29182.717691528,0.15
182,31939.68286364193,0.15
183,32494.503348435606,0.15
184,32227.83668176894,0.15
185,31853.90627331391,0.15
186,34310.88203000106,0.15
187,33542.875606477595,0.15
188,34823.26104637691,0.15
189,34505.21336997427,0.15
190,35148.998703388854,0.15
191,36001.85097591951,0.15
192,35727.760066828596,0.15
193,36603.9967886068,0.15
194,37667.20962267654,0.15
195,37360.072321302425,0.15
196,37637.24151624283,0.15
197,38750.321019544164,0.15
198,40292.143077369125,0.15
199,40361.98822229665,0.15
200,40154.595047390576,0.15
201,41224.03549887249,0.15
202,41425.46729369554,0.15
203,41114.266622573035,0.15
204,42055.88122118869,0.15
205,41770.43178125261,0.15
206,41420.862038287865,0.15
207,41425.24975667576,0.15
208,40996.99523818047,0.15
209,41535.016318684626,0.15
210,41268.766318684626,0.15
211,43645.64429531058,0.15
212,43764.177700873595,0.15
213,42883.445647566376,0.15
214,42690.01765234594,0.15
215,43087.680529223086,0.15
216,42658.08773760594,0.15
217,43666.81618969483,0.15
218,43311.79899815443,0.15
219,42972.51328386871,0.15
220,43447.40918689812,0.15
221,44052.097653667726,0.15
222,45074.654516285525,0.15
223,44678.50174654687,0.15
224,44456.94861773908,0.15
225,44106.58683194316,0.15
226,43792.30111765745,0.15
227,43466.75594035582,0.15
228,44313.56508162973,0.15
229,43949.27936734401,0.15
230,43600.77096323851,0.15
231,44251.46763677272,0.15
232,45446.19860960822,0.15
233,45610.88636855573,0.15
234,45798.90716533998,0.15
235,45398.14241171126,0.15
236,44923.812860864,0.15
237,45076.35280696648,0.15
238,44711.35280696648,0.15
239,45754.196529798544,0.15
240,45322.4679383155,0.15
241,46705.8675964165,0.15
242,47002.34120899298,0.15
243,47393.98215888624,0.15
244,46833.721194434824,0.15
245,46434.256656399324,0.15
246,46765.49517725886,0.15
247,46798.310591179245,0.15
248,49325.220284169896,0.15
249,48996.88695083656,0.15
250,49384.91191307016,0.15
251,50707.752539289424,0.15
252,50435.49967281157,0.15
253,49658.3900726397,0.15
254,49242.62469404573,0.15
255,48764.19839553578,0.15
256,48348.948313048684,0.15
257,49157.74431367831,0.15
258,51122.565850926905,0.15
259,51193.74385001005,0.15
260,51001.159786858196,0.15
261,52337.64060238099,0.15
262,51865.30100678421,0.15
263,53584.171432612944,0.15
264,52981.91186300905,0.15
265,52623.3843138741,0.15
266,52459.28541127477,0.15
267,52705.77531508281,0.15
268,53431.22170544951,0.15
269,57389.87248268207,0.15
270,57115.62456061754,0.15
271,58425.86919866434,0.15
272,57847.60540159871,0.15
273,58705.04784020839,0.15
274,60835.03114919598,0.15
275,61169.03373820964,0.15
276,62204.824946205015,0.15
277,63046.20890829853,0.15
278,63645.90223138669,0.15
279,64137.01340725486,0.15
280,64759.98393233798,0.15
281,65814.21164115828,0.15
282,66670.22571835267,0.15
283,65905.40476493699,0.15
284,65146.72118812949,0.15
285,64737.27474487231,0.15
286,65262.13437997123,0.15
287,66512.58536150017,0.15
288,68030.94443806811,0.15
289,69142.27026221101,0.15
290,70704.6311751619,0.15
291,73748.03495087888,0.15
292,76209.21675653676,0.15
293,75803.64149650827,0.15
294,75146.02772591701,0.15
295,77302.89716549648,0.15
296,77539.92981882808,0.15
297,77362.80522532322,0.15
298,77517.94446407257,0.15
299,77363.39397835087,0.15
300,76746.98556633323,0.15
301,79736.82671415524,0.15
302,80388.17661508401,0.15
303,79911.86610424684,0.15
304,79275.2996461308,0.15
305,79610.92025853947,0.15
306,78949.17625712651,0.15
307,80110.03033829932,0.15
308,80659.7966819438,0.15
309,80902.82003594901,0.15
310,80374.36697342411,0.15
311,81166.78076394944,0.15
312,80856.81537757117,0.15
313,82043.26020019386,0.15
314,83490.01101928797,0.15
315,83891.44278829738,0.15
316,84603.64036580564,0.15
317,83838.39902582069,0.15
318,83205.46848347076,0.15
319,84029.17399998206,0.15
320,84743.54198046018,0.15
321,86417.48781009865,0.15
322,86073.84646011102,0.15
323,86968.14908538871,0.15
324,87567.6835943948,0.15
325,87287.65234251627,0.15
326,87785.8695724652,0.15
327,88217.21573067673,0.15
328,87997.88014225307,0.15
329,87876.4498697065,0.15
330,88519.19923117725,0.15
331,92862.91793815838,0.15
332,93189.57957983347,0.15
333,93681.21634120482,0.15
334,93767.77247444143,0.15
335,92929.60692921467,0.15
336,93335.3082500071,0.15
337,94310.75133387986,0.15
338,96569.13060650037,0.15
339,96658.72679278902,0.15
340,97969.31639284165,0.15
341,100060.59118518472,0.15
342,102200.28816310858,0.15
343,102346.47981818311,0.15
344,102374.83808158402,0.15
345,101929.0834673341,0.15
346,100861.9082383615,0.15
347,101363.10002436678,0.15
348,100563.31687677668,0.15
349,99859.84215462235,0.15
350,99439.6965735165,0.15
351,101120.62137601161,0.15
352,100631.6648967166,0.15
353,99812.80784041548,0.15
354,98880.13031899669,0.15
355,97880.32403694275,0.15
356,98751.88669885857,0.15
357,98041.19731978407,0.15
358,99416.05901247464,0.15
359,99342.13305596948,0.15
360,99922.29164554876,0.15
361,101019.97836683685,0.15
362,100879.75362022256,0.15
363,100441.37300483492,0.15
364,100891.05144057087,0.15
365,100915.54778575046,0.15
